,Route,Sh,Amount,Shipping Type Code,Shipping Type Description,Weight,Vol,Vehicle Pallet Capacity (Pallet floor space),MoT,Vehicle Classification,Temp,Truck Size,Truck Type Short Form,Unnamed: 10,Truck Type,Weight Tons,Case Capacity,Pallet,Loose Case Loading/Unloading  Time (hr),Loose Case Loadiong /Unloading producivity (case/hr),Pallet Unloading producivity (Pallets/Hr)
1182,IDA110,GI,4550.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
1404,IDA155,GI,4550.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
1425,IDA156,GI,4550.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
1514,IDA161,GI,4550.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
3414,IDA445,GI,4550.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
3613,IDA488,GI,4550.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
3711,IDA511,GI,4550.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
3537,IDA477,GI,4583.333333333333,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
3548,IDA478,GI,4583.333333333333,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
1542,IDA165,9F,4625.0,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
1551,IDA165,GI,4625.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
3552,IDA479,9F,4625.0,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
