Index,Route,MoT,Temp,BaseCost,Volume,Check in Date,Weight,OldShipmentCount,netVol,netWeight,New_SH,New_BC,NewShipmentCount,Savings
1773,IDA921,Land,Ambient,4415147,89978711.356,2017-03-18,31499.0,3,0.0,0.0,"GG,GG",10000.0,2.0,"4,405,147"
1774,IDA061,Land,Ambient,14097103,195627263.14,2017-03-22,62100.0,6,0.0,0.0,"GF,GF,GF,GF,GF",9693692.5,5.0,"4,403,410"
1775,IDA155,Land,Ambient,4411505,108850252.92,2017-04-21,36713.0,3,0.0,0.0,"GG,GG",10000.0,2.0,"4,401,505"
1776,IDA016,Land,Ambient,9843492,71224145.75799999,2017-02-04,30427.0,4,0.0,0.0,"GF,GF",5444140.8,2.0,"4,399,351"
1777,IDA150,Land,Ambient,4400000,78050437.82,2017-04-16,26737.0,2,0.0,0.0,"GG,GG",10000.0,2.0,"4,390,000"
1778,IDA150,Land,Ambient,4400000,79900602.48,2017-04-30,32290.0,2,0.0,0.0,"GG,GG",10000.0,2.0,"4,390,000"
1779,IDA155,Land,Ambient,4396098,67783260.13,2017-04-11,22069.0,2,0.0,0.0,"GG,GG",10000.0,2.0,"4,386,098"
1780,IDJ051,Land,Ambient,12079343,152825966.97100002,2017-04-09,67253.0,11,0.0,0.0,"9G,9G,9G,9G,9G,9G,9G",7693952.0,7.0,"4,385,391"
1781,IDA046,Land,Ambient,6913137,78816765.15600002,2017-02-24,33731.0,5,0.0,0.0,"GF,GF",2530726.6666666665,2.0,"4,382,410"
1782,IDA002,Land,Ambient,12869915,131377252.312,2017-03-05,53153.0,7,0.0,0.0,"9M,9M,9S",8490206.333333334,3.0,"4,379,709"
1783,IDA110,Land,Ambient,4387121,79994218.63,2017-02-24,28949.0,2,0.0,0.0,"GG,GG",10000.0,2.0,"4,377,121"
1784,IDA002,Land,Ambient,9614777,86202479.665,2017-03-11,34136.0,8,0.0,0.0,"9M,9H",5240235.0,2.0,"4,374,542"
1785,IDA156,Land,Ambient,4378700,69412436.19,2017-03-23,25104.0,2,0.0,0.0,"GG,GG",10000.0,2.0,"4,368,700"
1786,IDA156,Land,Ambient,4378311,79946863.50999999,2017-02-17,33492.0,2,0.0,0.0,"GG,GG",10000.0,2.0,"4,368,311"
1787,IDA016,Land,Ambient,9637273,56725712.979,2017-02-21,23539.0,6,0.0,0.0,"GF,9G",5276869.4,2.0,"4,360,404"
