Index,Route,MoT,Temp,BaseCost,Volume,Check in Date,Weight,OldShipmentCount,netVol,netWeight,New_SH,New_BC,NewShipmentCount,Savings,Updated Base Cost
77,IDA154,Land,Ambient,31330590,289588988.163,2017-03-18,104591.0,9,0.0,0.0,"GG,GG,GG,GG,GG",25000.0,5,31305590.0,25000.0
78,IDA282,Land,Ambient,31623233,119977794.32,2017-02-20,43690.0,3,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",396000.0,24,31227233.0,396000.0
79,IDA020,Land,Ambient,80346904,920173497.37,2017-02-09,403629.0,74,0.0,0.0,"9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9S",49188677.0,41,31158227.0,49188677.0
80,IDA149,Land,Ambient,30935366,275346534.0,2017-03-11,94301.0,7,0.0,0.0,"GG,GG,GG,GG,GG",25000.0,5,30910366.0,25000.0
81,IDA154,Land,Ambient,30928548,249642278.231,2017-04-18,93572.0,9,0.0,0.0,"GG,GG,GG,GG",20000.0,4,30908548.0,20000.0
82,IDA141,Land,Ambient,31150444,79849659.14,2017-02-24,31756.0,2,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",300000.0,16,30850444.0,300000.0
83,IDA141,Land,Ambient,31150444,78943358.08,2017-03-10,26611.0,2,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",300000.0,16,30850444.0,300000.0
84,IDA345,Sea,Ambient,30600000,82797002.31,2017-03-31,35816.0,3,0.0,0.0,"9F,9F",14000.0,2,30586000.0,14000.0
85,IDA351,Sea,Ambient,30450000,83953953.33000001,2017-03-12,30196.0,3,0.0,0.0,"9F,9F",14000.0,2,30436000.0,14000.0
86,IDA101,Land,Ambient,30365774,104877771.69,2017-03-09,41808.0,3,0.0,0.0,"GG,GG",10000.0,2,30355774.0,10000.0
87,IDA154,Land,Ambient,30211546,369501125.66200006,2017-03-19,128676.0,14,0.0,0.0,"GG,GG,GG,GG,GG,GG",30000.0,6,30181546.0,30000.0
88,IDA004,Land,Ambient,80726696,822003058.02,2017-02-16,315457.0,31,0.0,0.0,"9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9G",50613551.0,21,30113145.0,50613551.0
89,IDA150,Land,Ambient,30135200,279787193.28000003,2017-03-10,99759.0,7,0.0,0.0,"GG,GG,GG,GG,GG",25000.0,5,30110200.0,25000.0
90,IDA385,Land,Ambient,30162837,179601584.11,2017-02-18,66973.0,5,0.0,0.0,"9G,9G,9G,9G,9G,9G,9G,9G",56000.0,8,30106837.0,56000.0
91,IDA091,Sea,Ambient,29983500,109352125.94999999,2017-02-21,42196.0,2,0.0,0.0,"9F,9F",9000.0,2,29974500.0,9000.0
92,IDA154,Land,Ambient,29979108,378273569.5510001,2017-02-02,144417.0,16,0.0,0.0,"GG,GG,GG,GG,GG,GG",30000.0,6,29949108.0,30000.0
93,IDA282,Land,Ambient,29905443,119995930.12,2017-02-04,43799.0,3,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",396000.0,24,29509443.0,396000.0
94,IDA282,Land,Ambient,29905443,119990281.66,2017-02-11,41079.0,3,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",396000.0,24,29509443.0,396000.0
95,IDA282,Land,Ambient,29905443,119311809.99000001,2017-03-10,43170.0,3,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",396000.0,24,29509443.0,396000.0
96,IDA095,Land,Ambient,29472600,134151269.76,2017-04-28,47155.0,3,0.0,0.0,"GG,GG,GG",15000.0,3,29457600.0,15000.0
97,IDA149,Land,Ambient,29361500,226390175.49,2017-03-17,91365.0,6,0.0,0.0,"GG,GG,GG,GG",20000.0,4,29341500.0,20000.0
98,IDA108,Sea,Ambient,29232000,109322827.22,2017-03-14,37867.0,2,0.0,0.0,"9F,9F",9000.0,2,29223000.0,9000.0
99,IDA091,Sea,Ambient,29214000,109767880.72999999,2017-02-16,40276.0,2,0.0,0.0,"9F,9F",9000.0,2,29205000.0,9000.0
100,IDA154,Land,Ambient,29210058,272096741.263,2017-04-28,105935.0,10,0.0,0.0,"GG,GG,GG,GG,GG",25000.0,5,29185058.0,25000.0
101,IDA390,Land,Ambient,29190416,236716924.05,2017-04-01,91506.0,6,0.0,0.0,"GD,GD,GD,GD,GD,GD,GD,GD,GD,GD,GD",56595.0,11,29133821.0,56595.0
102,IDA004,Land,Ambient,77740000,792537138.982,2017-02-22,319014.0,30,0.0,0.0,"9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L",48634140.0,20,29105860.0,48634140.0
103,IDA145,Land,Ambient,29256638,72405459.72,2017-02-25,29652.0,2,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",247500.0,15,29009138.0,247500.0
104,IDA145,Land,Ambient,29256638,78751135.9,2017-02-20,35400.0,2,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",264000.0,16,28992638.0,264000.0
105,IDA145,Land,Ambient,29256638,77862215.58,2017-03-03,33121.0,2,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",264000.0,16,28992638.0,264000.0
106,IDA145,Land,Ambient,29256638,79986508.58000001,2017-03-09,31858.0,2,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",264000.0,16,28992638.0,264000.0
107,IDA145,Land,Ambient,29256638,79980037.67,2017-03-16,33798.0,2,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",264000.0,16,28992638.0,264000.0
108,IDA145,Land,Ambient,29256638,79978318.75,2017-03-18,25786.0,2,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",264000.0,16,28992638.0,264000.0
109,IDA145,Land,Ambient,29256638,79651624.93,2017-03-21,31312.0,2,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",264000.0,16,28992638.0,264000.0
110,IDA145,Land,Ambient,29256638,79248343.36000001,2017-03-31,33751.0,2,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",264000.0,16,28992638.0,264000.0
111,IDA150,Land,Ambient,28910298,138273434.252,2017-04-08,55607.0,5,0.0,0.0,"GG,GG,GG",15000.0,3,28895298.0,15000.0
112,IDA110,Land,Ambient,28834100,118807129.75,2017-04-07,52964.0,3,0.0,0.0,"GG,GG",10000.0,2,28824100.0,10000.0
113,IDA779,Sea,Ambient,80627644,55991739.5,2017-02-02,20413.0,2,0.0,0.0,"GH,GH",51814860.0,2,28812784.0,51814860.0
114,IDA154,Land,Ambient,28605070,218763157.58,2017-03-02,75412.0,6,0.0,0.0,"GG,GG,GG,GG",20000.0,4,28585070.0,20000.0
115,IDA435,Land,Ambient,43330652,265651562.02299997,2017-02-24,104925.0,37,0.0,0.0,"GF,GF,GF,GF,GF,GF,GF",14750559.25,7,28580092.75,14750559.25
116,IDA352,Land,Ambient,28613395,220011473.37999997,2017-03-10,90741.0,6,0.0,0.0,"9G,9G,9G,9G,9G,9G,9G,9G,9G,9G",70000.0,10,28543395.0,70000.0
117,IDA154,Land,Ambient,28565169,357529530.1819999,2017-02-08,130425.0,12,0.0,0.0,"GG,GG,GG,GG,GG,GG",30000.0,6,28535169.0,30000.0
118,IDA020,Land,Ambient,70933003,801527896.875,2017-02-07,349271.0,66,0.0,0.0,"9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H",42426562.5,35,28506440.5,42426562.5
119,IDA390,Sea,Ambient,28500000,83912413.34,2017-03-25,29786.0,3,0.0,0.0,"9F,9F",14000.0,2,28486000.0,14000.0
120,IDA091,Sea,Ambient,28386000,109937377.49000001,2017-02-11,43882.0,2,0.0,0.0,"9F,9F",9000.0,2,28377000.0,9000.0
121,IDA020,Land,Ambient,58619409,564687865.8540002,2017-04-12,238333.0,60,0.0,0.0,"9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H",30304687.5,25,28314721.5,30304687.5
122,IDA353,Sea,Ambient,28300000,81712522.25999999,2017-03-17,32436.0,3,0.0,0.0,"9F,9F",14000.0,2,28286000.0,14000.0
123,IDA091,Sea,Ambient,28161000,109573311.55,2017-03-02,42754.0,2,0.0,0.0,"9F,9F",9000.0,2,28152000.0,9000.0
124,IDA064,Land,Ambient,63555423,647478185.8909999,2017-02-07,285017.0,48,0.0,0.0,"GF,GF,GF,GF,GF,GF,GF,GF,GF,GF,GF,GF,GF,GF,GF,GF,9A",35414314.33333333,17,28141108.66666667,35414314.33333333
